Агроном,1,8 лет 1 месяц,"Проверка качества сбора огурца,
Работа с первоначальной документацией,"
Агроном-консультант,2,10 лет,"Консультация,менеджмент, продажа минеральных удобрений"
Администратор сельскохозяйственного кооперативного потребительского  рынка,2,3 года,Обязанности исполняющего директора
"Начальник Беловского районного отдела филиала ФГУ ""Россельхозцентр"" по Курской области",2,3 года 11 месяцев,"Проверка семенного материла по с/х предприятиям, применение средств защиты растениводства"
Электрик подстанционных сетей,2,1 год 2 месяца,Ремонт обслуживание электроподстанций
Агроном,2,2 года 1 месяц,Агроном
Агроном,2,1 год 1 месяц,Обязоности агронома
Инженер-механик,3,17 лет 4 месяца,"организация рабочего дня.определение неполадок  узлов и агрегатов  с/х технике,поставка запасных частей .Техника в основном Белорусского и Российского производства. имеются косилка плющилка Кроне ,пресс подборщик Аробель"
Горные работы,4,1 год 8 месяцев,"Погрузка руды в автомашины  Белаз, Volvo сочлененные. Ведение правильного забоя,  работа на кубах. "
Машинист экскаватора 8 (восьмого)  разряда,4,2 года 4 месяца,"Разработка котлована в отметку, работа на строительстве дамбы ""Лебяжьем"" планировка откосов, погрузка автомашин скальным грунтом на экскаваторе Hundai 520,  Camatzu 400."
"Машинист экскаватора  А,В,С,Д,F, (шестого и седьмого) разряда.",4,4 года 10 месяцев,"Разработка грунта, разработка траншей. Планировка откосов. Погрузка автомобилей Белаз скальным грунтом в Павловском карьере с 3, 5, 6 кубовыми ковшами. Строительство земельных дамб, кавалеров, плотин и котлованов. Работа на строительстве автомобильных дорог, М4,  М11.  Работа на строительстве Железной дороги Воронеж- Ростов.Погрузка автомашин в карьерах на кубах и рейсах, разработка котлованов в отметку, планировка откосов на длинной руке 18м, 24м.
 Работа по демонтажу зданий, работа с дополнительным оборудованием - гидроножницы,  гидромолот, с вращателем.
 Проводил своевременное ТО в полевых условиях.  Опыт работы  на импортных экскаваторах Catarpillar, Camatzu 400, 500, 1250, Hitachi, Hundai, Volvo 740"
Водитель бензовоза всех категорий.,4,8 месяцев,"Перевозка нефтепродуктов всех классов. Безаварийное вождение, ведение документации. Заправка автомобилей и тяжёлой техники в карьере. Доставка топлива по АзС."
Механик,4,1 год 4 месяца,"Обеспечивание бесперебойной и технически правильной эксплуатации автомобилей. Контроль за выпуском на линию автотранспорта и его обслуживание. Согласовывание планов и графиков с подрядными организациями для перевозок и проведения ремонтных работ, приобретение материалов и запасных частей. Взаимодействие с заказчиками по перевозкам грузов. Подбор кадров для водительского состава."
Инженер-механик,4,9 месяцев,"Контроль за работой трех подразделений, состоящий из 60 единиц сельскохозяйственной техники. Отечественного и импортного производства типа  CLAAS, John Deere, Amazone, МаcDoN. Взаимодействие с крупнейшими дилерами и представителями сервисных служб. Управление за работой отделов механиков и кладовщиков, ведение и контроль  за отчетностью и списанием запасных частей,топлива, планирование ремонтных работ, составление дефектных актов.Организация закупки комплектующих и расходных материалов."
Сервисный-механик,4,9 месяцев,"Работа по сервисному обслуживанию, диагностики и ремонту экскаваторов, погрузчиков фирмы «Hyundai»"
Начальник транспортного отдела,4,2 года 7 месяцев,"Выпуск на линию автотранспорта, составление графиков движения автомобилей по маршруту, контроль за ремонтом большегрузных автомобилей и тяжелой техники КамАЗ, Skania, Мan, Kawasaki, Catаrpillar CaSE, контроль за работой транспортного цеха (автопарк, состоящий из отечественной и импортной техники – самосвалы Man-30 ед. самосвалы Skania -23 ед. бензовозы КамАЗ-2 ед. автопогрузчики Kawasaki ZIV 80-4 ед. автобетономиксеры Mersedes 3340- 11 ед. цементовозы Skania 380-4 ед. экскаватор Кamatsu 400- 3 ед. бульдозера Catаrpillar D6- 1ед. Case 1850-1 ед., автобусы Fiat-Dukato -4 шт.) Подготовка календарных планов (графиков), ведение путевых листов и их проверка, составление заявок на выполнение капитальных ремонтов, на получение необходимых материалов, запасных частей, инструмента и т.п, спецификации на запасные части и другой технической документации, контроль за ведением и учетом ГСМ, подбор кадров и работа с водительским составом в количестве 72 чел. 

Взаимодействие с подрядными организациями, заказчиками.

Составление договоров по автоперевозкам и контроль исполнения."
